novo_genero,idade,novo_tipo_usuario,total_viagens
homens,23,Cliente,2
homens,24,Cliente,1
homens,25,Cliente,12
homens,26,Cliente,9
homens,27,Cliente,12
homens,28,Cliente,10
homens,29,Cliente,19
homens,30,Cliente,18
homens,31,Cliente,28
homens,32,Cliente,27
homens,33,Cliente,24
homens,34,Cliente,23
homens,35,Cliente,27
homens,36,Cliente,27
homens,37,Cliente,42
homens,38,Cliente,23
homens,39,Cliente,21
homens,40,Cliente,16
homens,41,Cliente,14
homens,42,Cliente,19
homens,43,Cliente,16
homens,44,Cliente,12
homens,45,Cliente,14
homens,46,Cliente,16
homens,47,Cliente,19
homens,48,Cliente,11
homens,49,Cliente,11
homens,50,Cliente,9
homens,51,Cliente,11
homens,52,Cliente,7
homens,53,Cliente,10
homens,54,Cliente,8
homens,55,Cliente,8
homens,56,Cliente,12
homens,57,Cliente,6
homens,58,Cliente,10
homens,59,Cliente,6
homens,60,Cliente,11
homens,61,Cliente,3
homens,62,Cliente,4
homens,64,Cliente,7
homens,66,Cliente,5
homens,67,Cliente,1
homens,68,Cliente,2
homens,69,Cliente,2
homens,72,Cliente,5
homens,73,Cliente,2
homens,74,Cliente,1
homens,75,Cliente,1
homens,77,Cliente,1
mulheres,24,Cliente,2
mulheres,25,Cliente,7
mulheres,26,Cliente,6
mulheres,27,Cliente,9
mulheres,28,Cliente,9
mulheres,29,Cliente,13
mulheres,30,Cliente,17
mulheres,31,Cliente,13
mulheres,32,Cliente,20
mulheres,33,Cliente,15
mulheres,34,Cliente,14
mulheres,35,Cliente,18
mulheres,36,Cliente,28
mulheres,37,Cliente,24
mulheres,38,Cliente,13
mulheres,39,Cliente,8
mulheres,40,Cliente,10
mulheres,41,Cliente,7
mulheres,42,Cliente,6
mulheres,43,Cliente,12
mulheres,44,Cliente,3
mulheres,45,Cliente,8
mulheres,46,Cliente,3
mulheres,47,Cliente,5
mulheres,48,Cliente,3
mulheres,49,Cliente,5
mulheres,50,Cliente,6
mulheres,51,Cliente,4
mulheres,52,Cliente,2
mulheres,53,Cliente,1
mulheres,54,Cliente,5
mulheres,55,Cliente,3
mulheres,56,Cliente,2
mulheres,57,Cliente,2
mulheres,58,Cliente,4
mulheres,59,Cliente,3
mulheres,60,Cliente,2
mulheres,61,Cliente,4
mulheres,62,Cliente,3
mulheres,63,Cliente,4
mulheres,64,Cliente,1
mulheres,65,Cliente,2
mulheres,66,Cliente,2
mulheres,67,Cliente,2
mulheres,68,Cliente,1
mulheres,69,Cliente,1
mulheres,71,Cliente,1
homens,22,Assinante,1
homens,23,Assinante,16
homens,24,Assinante,32
homens,25,Assinante,63
homens,26,Assinante,129
homens,27,Assinante,203
homens,28,Assinante,256
homens,29,Assinante,379
homens,30,Assinante,541
homens,31,Assinante,780
homens,32,Assinante,931
homens,33,Assinante,1070
homens,34,Assinante,1235
homens,35,Assinante,1317
homens,36,Assinante,1203
homens,37,Assinante,1274
homens,38,Assinante,1260
homens,39,Assinante,1285
homens,40,Assinante,1222
homens,41,Assinante,1215
homens,42,Assinante,1109
homens,43,Assinante,1072
homens,44,Assinante,922
homens,45,Assinante,868
homens,46,Assinante,800
homens,47,Assinante,825
homens,48,Assinante,776
homens,49,Assinante,733
homens,50,Assinante,652
homens,51,Assinante,730
homens,52,Assinante,640
homens,53,Assinante,673
homens,54,Assinante,765
homens,55,Assinante,688
homens,56,Assinante,622
homens,57,Assinante,642
homens,58,Assinante,531
homens,59,Assinante,549
homens,60,Assinante,577
homens,61,Assinante,494
homens,62,Assinante,545
homens,63,Assinante,511
homens,64,Assinante,468
homens,65,Assinante,408
homens,66,Assinante,312
homens,67,Assinante,271
homens,68,Assinante,310
homens,69,Assinante,252
homens,70,Assinante,229
homens,71,Assinante,225
homens,72,Assinante,119
homens,73,Assinante,121
homens,74,Assinante,89
homens,75,Assinante,71
homens,76,Assinante,64
homens,77,Assinante,43
homens,78,Assinante,46
homens,79,Assinante,42
homens,80,Assinante,30
homens,81,Assinante,26
homens,82,Assinante,20
homens,83,Assinante,27
homens,84,Assinante,14
homens,85,Assinante,1
homens,86,Assinante,9
homens,87,Assinante,3
homens,89,Assinante,1
homens,91,Assinante,1
homens,95,Assinante,1
homens,106,Assinante,1
homens,123,Assinante,3
homens,124,Assinante,23
mulheres,23,Assinante,4
mulheres,24,Assinante,8
mulheres,25,Assinante,29
mulheres,26,Assinante,40
mulheres,27,Assinante,47
mulheres,28,Assinante,80
mulheres,29,Assinante,126
mulheres,30,Assinante,198
mulheres,31,Assinante,340
mulheres,32,Assinante,384
mulheres,33,Assinante,427
mulheres,34,Assinante,510
mulheres,35,Assinante,484
mulheres,36,Assinante,463
mulheres,37,Assinante,483
mulheres,38,Assinante,428
mulheres,39,Assinante,468
mulheres,40,Assinante,365
mulheres,41,Assinante,394
mulheres,42,Assinante,271
mulheres,43,Assinante,267
mulheres,44,Assinante,230
mulheres,45,Assinante,193
mulheres,46,Assinante,180
mulheres,47,Assinante,200
mulheres,48,Assinante,175
mulheres,49,Assinante,155
mulheres,50,Assinante,151
mulheres,51,Assinante,170
mulheres,52,Assinante,149
mulheres,53,Assinante,164
mulheres,54,Assinante,178
mulheres,55,Assinante,153
mulheres,56,Assinante,149
mulheres,57,Assinante,149
mulheres,58,Assinante,179
mulheres,59,Assinante,155
mulheres,60,Assinante,122
mulheres,61,Assinante,119
mulheres,62,Assinante,158
mulheres,63,Assinante,126
mulheres,64,Assinante,144
mulheres,65,Assinante,109
mulheres,66,Assinante,107
mulheres,67,Assinante,104
mulheres,68,Assinante,73
mulheres,69,Assinante,54
mulheres,70,Assinante,73
mulheres,71,Assinante,39
mulheres,72,Assinante,32
mulheres,73,Assinante,15
mulheres,74,Assinante,31
mulheres,75,Assinante,14
mulheres,76,Assinante,13
mulheres,77,Assinante,8
mulheres,78,Assinante,8
mulheres,79,Assinante,1
mulheres,80,Assinante,5
mulheres,81,Assinante,1
mulheres,82,Assinante,1
mulheres,83,Assinante,10
mulheres,87,Assinante,3
mulheres,91,Assinante,2
mulheres,97,Assinante,1
mulheres,98,Assinante,2
mulheres,103,Assinante,1
mulheres,105,Assinante,1